,Qtr,StateAbbreviation,Deaths,Cases,UnemploymentRate(%),Personal_Income_Change,GDP_growth_rate,State,Mask,Cases_p,Deaths_p,CFR,CFR_p
188,2020Q2,ND,88,3585,7.082389937106917,32.5,-27.6,North Dakota,"Yes, 11/14/2020",95956,1406,2.5,1.5
189,2020Q2,NE,279,19194,4.410394265232975,33.1,-31.0,Nebraska,"No, nan",182393,1896,1.5,1.0
190,2020Q2,NH,371,5782,14.106666666666666,30.3,-36.9,New Hampshire,"Yes, 11/20/2020",57864,933,6.4,1.6
191,2020Q2,NJ,15035,173521,16.223809523809525,40.8,-35.6,New Jersey,"Yes, 07-08-2020",631074,20458,8.7,3.2
192,2020Q2,NM,497,12147,8.38989898989899,40.7,-28.3,New Mexico,"Yes, 05/16/2020",164263,2960,4.1000000000000005,1.7999999999999998
193,2020Q2,NV,507,18582,10.872549019607844,40.5,-42.2,Nevada,"Yes, 06/24/2020",262880,3784,2.7,1.4000000000000001
194,2020Q2,NY,31776,398142,12.51236559139785,29.5,-36.3,New York,"Yes, 04/17/2020",1256228,40753,8.0,3.2
195,2020Q2,OH,2863,51789,13.500378787878788,42.4,-33.0,Ohio,"Yes, 07/23/2020",831066,10281,5.5,1.2
196,2020Q2,OK,387,13757,10.045887445887445,47.7,-31.1,Oklahoma,"No, nan",356816,2994,2.8000000000000003,0.8
197,2020Q2,OR,210,8695,12.875925925925925,43.9,-31.9,Oregon,"Yes, 07/01/2020",133851,1811,2.4,1.4000000000000001
198,2020Q2,PA,6695,91226,13.800497512437811,51.6,-34.0,Pennsylvania,"Yes, 07/01/2020",776490,19390,7.3,2.5
199,2020Q2,PR,153,7465,9.660897435897436,,,Puerto Rico,"No, nan",121554,1703,2.0,1.4000000000000001
200,2020Q2,RI,950,16813,14.106666666666666,55.2,-32.4,Rhode Island,"Yes, 05-08-2020",104443,2005,5.7,1.9
201,2020Q2,SC,739,36399,10.97536231884058,40.4,-32.6,South Carolina,"No, nan",391464,6248,2.0,1.6
202,2020Q2,SD,91,6764,7.808080808080808,38.6,-28.8,South Dakota,"No, nan",105659,1667,1.3,1.6
203,2020Q2,TN,597,42815,11.680350877192982,24.6,-40.4,Tennessee,"No, nan",674915,8350,1.4000000000000001,1.2
204,2020Q2,TX,2482,166703,9.23490813648294,29.4,-29.0,Texas,"Yes, 07/03/2020",2138574,32858,1.5,1.5
205,2020Q2,UT,172,22364,8.828735632183909,50.5,-22.4,Utah,"Yes, 11/09/2020",324919,1500,0.8,0.5
206,2020Q2,VA,1763,62787,9.27844611528822,22.3,-27.0,Virginia,"Yes, 05/26/2020",446550,5739,2.8000000000000003,1.3
207,2020Q2,VI,6,90,,,,Virgin Islands,,2260,24,6.7,1.0999999999999999
208,2020Q2,VT,56,1208,13.640476190476189,50.3,-38.2,Vermont,"Yes, 08/01/2020",10220,163,4.6,1.6
209,2020Q2,WA,1333,34541,12.811111111111112,33.9,-25.5,Washington,"Yes, 06/26/2020",293739,3974,3.9,1.4000000000000001
210,2020Q2,WI,793,31723,12.051388888888889,35.9,-32.6,Wisconsin,"Yes, 08/01/2020",569335,5930,2.5,1.0
211,2020Q2,WV,93,2904,13.254545454545454,70.3,-29.6,West Virginia,"Yes, 06/06/2020",109809,1784,3.2,1.6
212,2020Q2,WY,20,1487,7.723188405797101,23.6,-32.5,Wyoming,"No, nan",49708,522,1.3,1.0999999999999999
213,2020Q3,AK,52,8707,8.388505747126436,-7.2,32.2,Alaska,"No, nan",51785,220,0.6,0.4
214,2020Q3,AL,2540,154701,6.982089552238806,-16.5,34.6,Alabama,"Yes, 07/16/2020",424028,6121,1.6,1.4000000000000001
215,2020Q3,AR,1369,83697,7.300444444444444,-20.3,31.8,Arkansas,"Yes, 07/20/2020",272263,4343,1.6,1.6
216,2020Q3,AZ,5654,218511,9.2,-8.6,31.1,Arizona,"No, nan",679282,11265,2.6,1.7000000000000002
217,2020Q3,CA,15898,821125,10.06264367816092,-1.6,31.2,California,"Yes, 07/18/2020",3032007,33742,1.9,1.0999999999999999
218,2020Q3,CO,2061,71090,5.659895833333334,-11.4,30.1,Colorado,"Yes, 07/17/2020",378311,5462,2.9000000000000004,1.4000000000000001
